,LN,Wilcoxon,t-test,replicate
accuracy,0.983671449777338,0.9703117268678871,0.974764967837704,89
recall,0.79,0.46,0.59,89
precision,0.8681318681318682,0.8846153846153846,0.855072463768116,89
tpr,0.79,0.46,0.59,89
tnr,0.9937532535137948,0.9968766267568975,0.9947943779281624,89
fpr,0.006246746486205101,0.0031233732431025507,0.0052056220718375845,89
fnr,0.21,0.54,0.41,89
f1,0.7700534759358287,0.6133333333333333,0.6900584795321637,90
accuracy,0.9787128712871287,0.9712871287128713,0.9737623762376237,90
recall,0.72,0.46,0.59,90
precision,0.8275862068965517,0.92,0.8309859154929577,90
tpr,0.72,0.46,0.59,90
tnr,0.9921875,0.9979166666666667,0.99375,90
fpr,0.0078125,0.0020833333333333333,0.00625,90
fnr,0.28,0.54,0.41,90
f1,0.4775086505190311,0.36213991769547327,0.527363184079602,91
accuracy,0.9252475247524753,0.9232673267326733,0.9529702970297029,91
recall,0.69,0.44,0.53,91
precision,0.36507936507936506,0.3076923076923077,0.5247524752475248,91
tpr,0.69,0.44,0.53,91
tnr,0.9375,0.9484375,0.975,91
